Species	Domain	Min opt	Max opt	Min sup	Max sup	Classif	NaCl?	Unit	Reference	Year	Genus	Family	Order	Class	Phylum	Kingdom
Limibacillus halophilus	B	2	2	0	5	Moderate	s	p	Kim et al 2015	2015	Limibacillus	Rhodovibrionaceae	Rhodospirillales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Martelella mediterranea	B	0	2	0	5	Tolerant	s	p	Rivas et al 2005	2005	Martelella	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Oceanisphaera sediminis	B	2	2	1	5	Slight	s	p	Shin et al 2012	2012	Oceanisphaera	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Pseudovibrio flavus	B	2	2	0,5	5	No Class	s	p	Goldberg et al 2022	2022	Pseudovibrio	Stappiaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Rhodophyticola porphyridii	B	2	2	0	5	Moderate	s	p	Jung et al 2019	2019	Rhodophyticola	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Robertmurraya crescens	B	0	2	0	5	Tolerant	s	p	Shivani et al 2015 / Gupta et al 2020	2015	Robertmurraya	Cytobacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Ruegeria conchae	B	2	2	1	5	Slight	s	p	Lee et al 2012	2012	Ruegeria	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Thalassobius litorarius	B	2	2	1	5	Slight	s	p	Park et al 2016	2016	Thalassobius	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Marinococcus halophilus	B	1	2	0	5,5	No Class	s	m	Novitsky and Kushner 1976	1976	Marinococcus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Aestuariirhabdus litorea	B	2	2	1	6	Moderate	s	p	Khan et al 2020	2020	Aestuariirhabdus	Aestuariirhabdaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Albirhodobacter confluentis	B	2	2	0	6	Moderate	s	p	Jung et al 2018	2018	Albirhodobacter	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Anaerosacchariphilus polymeriproducens	B	2	2	0	6	Tolerant	s	p	Kim et al 2019	2019	Anaerosacchariphilus	Lachnospiraceae	Eubacteriales	Clostridia	Bacillota	Bacillati
Arenibacter hampyeongensis	B	1	2	1	6	Tolerant	s	p	Jeong et al 2013	2013	Arenibacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Lederbergia wuyishanensis	B	2	2	0	6	Moderate	s	p	Liu et al 2015 / Gupta et al 2020	2015	Lederbergia	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Marinobacter nitratireducens	B	2	2	0,5	6	No Class	s	p	Vaidya et al 2015	2015	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Marinobacter xestospongiae	B	2	2	0,5	6	Slight	s	p	Lee et al 2012	2012	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Mongoliibacter ruber	B	0,5	2	0	6	No Class	s	p	Wang et al 2016	2016	Mongoliibacter	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidota	Pseudomonadati
Occultella aeris	B	0,5	2	0,5	6	Moderate	s	p	Schumann et al 2021	2021	Occultella	Ruaniaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Parashewanella tropica	B	2	2	0,5	6	Slight	s	p	Namirimu et al 2019	2019	Parashewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Parasphingopyxis algicola	B	2	2	0	6	Slight	s	p	Jeong et al 2017	2017	Parasphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Photobacterium lipolyticum	B	1	2		6	Slight	s	p	Yoon et al 2005	2005	Photobacterium	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Pontibacterium granulatum	B	2	2	1	6	Moderate	s	p	Hyeon et al 2017	2017	Pontibacterium	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Lishizhenia tianjinensis	B	2	2	0,5	6,5	Moderate	s	p	Chen et al 2009	2009	Lishizhenia	Crocinitomicaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Microbulbifer epialgicus	B	2	2	0,5	6,5	Slight	s	p	Nishijima et al 2009	2009	Microbulbifer	Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Dethiosulfovibrio acidaminovorans	B	2	2	0,5	7	Slight	s	p	Surkov et al 2001	2001	Dethiosulfovibrio	Dethiosulfovibrionaceae	Synergistales	Synergistia	Synergistota	Thermotogati
Dethiosulfovibrio salsuginis	B	2	2	0,1	7	Slight	s	p	Díaz-Cárdenas et al 2010	2010	Dethiosulfovibrio	Dethiosulfovibrionaceae	Synergistales	Synergistia	Synergistota	Thermotogati
Dokdonia donghaensis	B	2	2	0,5	7	Slight	s	p	Yoon et al 2005	2005	Dokdonia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Erythrobacter dokdonensis	B	2	2	0	7	Slight	s	p	Yoon et al. 2006	2006	Erythrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Erythrobacter donghaensis	B	2	2	0	7	Slight	s	p	Yoon et al. 2004 / Xu et al 2020	2004	Erythrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Gallaecimonas pentaromativorans	B	1	2	0	7	Tolerant	s	p	Rodríguez-Blanco et al 2010	2010	Gallaecimonas	Gallaecimonadaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Lunatibacter salilacus	B	2	2	0	7	Slight	s	p	Han et al 2021	2021	Lunatibacter	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidota	Pseudomonadati
Microbulbifer variabilis	B	2	2	0,5	7	Slight	s	p	Nishijima et al 2009	2009	Microbulbifer	Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Photobacterium ganghwense	B	2	2	1	7	No Class	s	p	Park et al. 2006	2006	Photobacterium	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Pseudooceanicola flagellatus	B	2	2	0,5	7,5	Moderate	s	p	Huo et al 2014 / Huang et al 2018	2014	Pseudooceanicola	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Sphaerochaeta halotolerans	B	1	2	0	7,5	Tolerant	s	p	Bizhieva et al 2020	2020	Sphaerochaeta	Sphaerochaetaceae	Spirochaetales	Spirochaetia	Spirochaetota	Pseudomonadati
Hahella chejuensis	B	2	2	1	8	Slight	s	p	Lee et al 2001	2001	Hahella	Hahellaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas alkalicola	B	0	2	0	8	Moderate	s	p	Tang et al 2017	2017	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Oceanobacillus arenosus	B	2	2	0	8	Moderate	s	p	Kim et al 2015	2015	Oceanobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Parahaliea aestuarii	B	2	2	0	8	Tolerant	s	p	Jung et al 2017	2017	Parahaliea	Halieaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Robertmurraya korlensis	B	0	2	0	8	Tolerant	s	p	Zhang et al 2009 / Gupta et al 2020	2009	Robertmurraya	Cytobacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Shewanella gaetbuli	B	2	2		8	Slight	s	p	Yoon et al. 2004	2004	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Algoriphagus locisalis	B	2	2	0	9	Slight	s	p	Yoon et al 2005	2005	Algoriphagus	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidota	Pseudomonadati
Algoriphagus yeomjeoni	B	2	2		9	Slight	s	p	Yoon et al 2005	2005	Algoriphagus	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidota	Pseudomonadati
Aliiglaciecola aliphaticivorans	B	2	2	1	9	Slight	s	p	Jin et al 2015	2015	Aliiglaciecola	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Alteromonas naphthalenivorans	B	2	2	0,5	9	Tolerant	s	p	Jin ett al 2015	2015	Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Christiangramia oceanisediminis	B	0	2	0	9	Moderate	s	p	Yang et al 2023 / Goo and Li 2024	2023	Christiangramia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Flagellimonas flavescens	B	2	2		9	Slight	s	p	Yoon et al. 2005 / Novoa et al 2024	2005	Flagellimonas	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Mariniphaga anaerophila	B	1	2	0	9	Moderate	s	p	Iino et al 2014	2014	Mariniphaga	Prolixibacteraceae	Bacteroidales	Bacteroidia	Bacteroidota	Pseudomonadati
Microbulbifer gwangyangensis	B	1	2	0	9	Tolerant	s	p	Jeong et al 2013	2013	Microbulbifer	Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Paracoccus salsus	B	2	2	2	9	Slight	s	p	Gao et al 2022	2022	Paracoccus	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Pontixanthobacter luteolus	B	2	2		9	Slight	s	p	Yoon et al. 2005 / Xu et al 2020	2005	Pontixanthobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Streptomyces pharmamarensis	B	2	2		9	Tolerant	s	p	Carro et al 2012	2012	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati
Bacillus ectoiniformans	B	2	2	0	10	Tolerant	s	p	Zhu et al 2016	2016	Bacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Cytobacillus luteolus	B	0	2	0	10	Tolerant	s	p	Shi et al 2011 / Gupta et al 2020	2011	Cytobacillus	Cytobacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Evansella tamaricis	B	1	2	0	10	Slight	s	p	Zhang et al 2018 / Narsing Rao et al 2022	2018	Evansella	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Flagellimonas marinaquae	B	2	2		10	Slight	s	p	Yoon et al. 2005 / Novoa et al 2024	2005	Flagellimonas	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Gracilimonas sediminicola	B	2	2	0	10	Tolerant	s	p	Lee et al 2023	2023	Gracilimonas	Balneolaceae	Balneolales	Balneolia	Balneolota	Pseudomonadati
Halalkalibacterium ligniniphilum	B	2	2	0	10	Tolerant	s	p	Zhu et al 2014 / Joshi et al 2022	2014	Halalkalibacterium	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Novosphingopyxis baekryungensis	B	2	2		10	Slight	s	p	Yoon et al. 2005 / Feng et al 2020	2005	Novosphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Pelagivirga sediminicola	B	2	2	1	10	Slight	s	p	Ji et al 2018	2018	Pelagivirga	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Roseivirga pacifica	B	2	2	0,5	10	Moderate	s	p	Huo et al 2013 / García-López et al 2020	2013	Roseivirga	Roseivirgaceae	Cytophagales	Cytophagia	Bacteroidota	Pseudomonadati
Streptomyces durbertensis	B	2	2	0	10	Moderate	s	p	Yu et al 2018	2018	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati
Thioclava sediminum	B	2	2	0	10	Tolerant	s	p	Liu et al 2017 / Chang et al 2018	2017	Thioclava	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Vibrio ruber	B	2	2	1	10	No Class	s	p	Shieh et al 2003	2003	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Donghicola eburneus	B	2	2		11	Slight	s	p	Yoon et al. 2007	2007	Donghicola	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Exiguobacterium profundum	B	0	2	0	11	Tolerant	s	p	Crapart et al 2007	2007	Exiguobacterium	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Streptomyces daqingensis	B	2	2	0	11	Moderate	s	p	Pan et al 2016	2016	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati
Aestuariicoccus marinus	B	2	2	0,5	12	Tolerant	s	p	Feng et al 2018	2018	Aestuariicoccus	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Cellulomonas pakistanensis	B	1	2	0	12	Tolerant	s	p	Ahmed et al 2014	2014	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Marinospirillum celere	B	2	2	0,5	12	No Class	s	p	Namsaraev et al 2009	2009	Marinospirillum	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Prolixibacter denitrificans	B	2	2	1	13	Moderate	s	p	Iino et al 2015	2015	Prolixibacter	Prolixibacteraceae	Bacteroidales	Bacteroidia	Bacteroidota	Pseudomonadati
Roseovarius aquimarinus	B	2	2	1	13	Slight	s	p	Kang et al 2015	2015	Roseovarius	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Terribacillus goriensis	B	0	2	0	14	Tolerant	s	p	Kim et al 2007 / Krishnamurthi et al 2008	2007	Terribacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Exiguobacterium marinum	B	2	2	0	17	Slight	s	p	Kim et al 2005	2005	Exiguobacterium	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Exiguobacterium aestuarii	B	2	2	0	19	Slight	s	p	Kim et al 2005	2005	Exiguobacterium	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Marinobacter fonticola	B	1	2	0	19	Tolerant	s	p	Sun et al 2020	2020	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Planococcus halocryophilus	B	2	2	0	19	Tolerant	s	p	Mykytczuk et al 2012	2012	Planococcus	Caryophanaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Nesterenkonia aurantiaca	B	2	2	0,003	20	No Class	s	p	Finore et al 2016	2016	Nesterenkonia	Micrococcaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Pseudalkalibacillus salsuginis	B	2	2	0	20	Tolerant	s	p	Gao et al 2022	2022	Pseudalkalibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Roseovarius gahaiensis	B	2	2	0,5	20	No Class	s	p	Sun et al 2020	2020	Roseovarius	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Desulfocurvus thunnarius	B	2	2	0	50	Tolerant	s	g	Hamdi et al 2013	2013	Desulfocurvus	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
Altererythrobacter ishigakiensis	B	1,5	2			No Class	s	p	Matsumoto et al 2011	2011	Altererythrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Photobacterium damselae	B	2	2			No Class	s	p	Okuzumi et al. 1994	1994	Photobacterium	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Polaribacter dokdonensis	B	2	2			Slight	s	p	Yoon et al. 2006	2006	Polaribacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Psychrilyobacter atlanticus	B	2	2			Slight	s	p	Zhao et al 2009	2009	Psychrilyobacter	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteriota	Fusobacteriati
Haloarcula limicola	A	2,1	2,1	0,9	4,8	No Class	s	m	Zhang and Cui 2014 / Me et al 2024	2014	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloarcula salina	A	2,1	2,1	0,9	4,8	No Class	s	m	Zhang and Cui 2015 / Ma et al 2023	2015	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halobaculum rubrum	A	2,1	2,1	1,7	4,8	Extreme	s	m	Dilmurat et al 2022	2022	Halobaculum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Salinirubellus salinus	A	2,1	2,1	1,4	4,8	No Class	s	m	Hou et al 2018	2018	Salinirubellus	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloplanus aerogenes	A	2,1	2,1	1,4	5,1	Extreme	s	m	Cui et al 2011	2011	Haloplanus	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natranaerobius trueperi	B	2,2	2,2	1,5	3,8	No Class	s	m	Mesbah et al 2009	2009	Natranaerobius	Natranaerobiaceae	Natranaerobiales	Clostridia	Bacillota	Bacillati
Natranaerobius thermophilus	B	1,7	2,3	1,5	3,3	Extreme	s	m	Mesbah et al. 2007	2007	Natranaerobius	Natranaerobiaceae	Natranaerobiales	Clostridia	Bacillota	Bacillati
Natronovirga wadinatrunensis	B	2,3	2,3	1,7	3,7	Extreme	s	m	Mesbah et al 2009	2009	Natronovirga	Natranaerobiaceae	Natranaerobiales	Clostridia	Bacillota	Bacillati
Methanohalophilus halophilus	A	0,6	2,5	0,3	3,5	Moderate	s	m	Wilham et al. 1991	1991	Methanohalophilus	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Kordiimonas pumila	B	2,5	2,5	1	4	Slight	s	p	Ju et al 2018	2018	Kordiimonas	Temperatibacteraceae	Kordiimonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Maridesulfovibrio hydrothermalis	B	2,5	2,5	0	4	Slight	s	p	Alazard et al 2003 / Waite et al 2020	2003	Maridesulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
Salibacterium halochares	B	2,5	2,5	1	4	Moderate	s	m	Pappa et al 2010 / Reddy et al 2015	2010	Salibacterium	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halobacterium sodomense	A	1,7	2,5	0,5	4,3	No Class	s	m	Oren 1983	1983	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronospira proteinivora	B	2	2,5	1	4,5	Tolerant	Na+	m	Sorokin et la 2017	2017	Natronospira	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halopiger thermotolerans	A	2,5	2,5	1,7	4,6	No Class	s	m	Minegishi et al 2016	2016	Halopiger	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halovibrio denitrificans	B	2	2,5	2	5	Extreme	s	m	Sorokin et al. 2006	2006	Halovibrio	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Natronorubrum daqingense	A	2	2,5	1,7	5,137	Extreme	s	m	Quadri et al. 2016 / Wang et al 2010 / de la Haba et al 2022	2010	Natronorubrum	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Pseudoalteromonas denitrificans	B	2,5	2,5	1,5	5,5	No Class	s	p	Enger et al 1987	1987	Pseudoalteromonas	Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Psychrobacillus vulpis	B	2,5	2,5	0	5,5	Slight	s	p	Rodríguez et al 2020	2020	Psychrobacillus	Caryophanaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Oleiagrimonas citrea	B	2,5	2,5	0	6	Slight	s	p	Yang et al 2017	2017	Oleiagrimonas	Rhodanobacteraceae	Lysobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Litoribacter ruber	B	0,5	2,5	0	9	Tolerant	s	p	Tian et al 2010	2010	Litoribacter	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidota	Pseudomonadati
Thalassocella blandensis	B	2,5	2,5	1,5	9	Slight	Total salts	p	Lucena et al 2020	2020	Thalassocella	Cellvibrionaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Mesobacillus persicus	B	2,5	2,5	0,5	10	Slight	s	p	Didari et al 2013 / Patel and Gupta 2020	2013	Mesobacillus	Cytobacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Oleidesulfovibrio alaskensis	B	2,5	2,5	0	10	Moderate	s	p	Feio et al. 2004 / Waite et al 2020	2004	Oleidesulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
Alkalibacterium thalassium	B	1	2,5	0	11	Slight	s	p	Ishikawa et al 2009	2009	Alkalibacterium	Carnobacteriaceae	 Lactobacillales	Bacilli	Bacillota	Bacillati
Salinivibrio costicola	B	2,5	2,5	0	12,5	Tolerant	s	p	Huang et al 2000	2000	Salinivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Nocardiopsis sinuspersici	B	2,5	2,5	0	15	Tolerant	s	p	Hamedi et al 2010	2010	Nocardiopsis	Nocardiopsidaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacillati
Ornithinibacillus gellani	B	2,5	2,5	0,5	17,5	No Class	s	p	Jian-Hang et al 2019	2019	Ornithinibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Nesterenkonia suensis	B	2,5	2,5	0	18	Moderate	s	p	Govender et al 2013	2013	Nesterenkonia	Micrococcaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Alkalibacterium kapii	B	1,5	2,5	0	21	Slight	s	p	Ishikawa et al 2009	2009	Alkalibacterium	Carnobacteriaceae	 Lactobacillales	Bacilli	Bacillota	Bacillati
Halomonas radicis	B	2,5	2,5	0	25	Tolerant	s	p	Navarro-Torres et al 2020	2020	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Kushneria endophytica	B	2,5	2,5	0,5	25	Moderate	s	p	Navarro-Torre et al 2019	2019	Kushneria	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Kushneria phyllosphaerae	B	2,5	2,5	0,5	25	Moderate	s	p	Navarro-Torre et al 2018	2018	Kushneria	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Rossellomorea arthrocnemi	B	2,5	2,5	0	25	Tolerant	s	p	Navarro-Torre et al 2021	2021	Rossellomorea	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Salinisphaera hydrothermalis	B	2,5	2,5	1	25	Tolerant	s	p	Crespo-Medina et al 2009	2009	Salinisphaera	Salinisphaeraceae	Nevskiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halolactibacillus alkaliphilus	B	2,5	2,5	0,5	30	Moderate	s	p	Cao et al 2008	2008	Halolactibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halobaculum gomorrense	A	1,5	2,5	1		Extreme	s	m	Oren et al 1995	1995	Halobaculum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorubrum aidingense	A	2,6	2,6	1,7	4,3	Extreme	s	m	Bowers e Wiegel 2011 / Cui et al. 2006	2006	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloparvum alkalitolerans	A	2,1	2,6	2,1	4,7	No Class	s	m	Kondo et al 2016	2016	Haloparvum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloarcula laminariae	A	2,6	2,6	1,4	4,8	Extreme	s	m	Ma et al 2023 / Ma et al 2024	2023	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorubrum lipolyticum	A	2,6	2,6	1,7	4,8	Extreme	s	m	Cui et al. 2006	2006	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorussus pelagicus	A	2,6	2,6	2	4,8	No Class	s	m	Han and Cui 2022	2022	Halorussus	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halostella litorea	A	2,6	2,6	1,4	4,8	No Class	s	m	Han and Cui 2021	2020	Halostella	Natronoarchaeaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halostella pelagica	A	2,6	2,6	1,4	4,8	No Class	s	m	Han and Cui 2020	2020	Halostella	Natronoarchaeaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natrinema halophilum	A	2,6	2,6	1,4	4,8	Extreme	s	m	Bao et al 2022	2022	Natrinema	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronoarchaeum rubrum	A	2,6	2,6	1,4	4,8	No Class	s	m	Qiu et al 2014	2014	Natronoarchaeum	Natronoarchaeaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Salinigranum salinum	A	2,6	2,6	0,9	4,8	Extreme	s	m	Wang et al 2016	2016	Salinigranum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halomarina oriensis	A	2,6	2,6	1,7	5	Extreme	s	m	Inoue et al 2011	2011	Halomarina	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloarchaeobius baliensis	A	2,6	2,6	1,7	5,1	Extreme	s	m	Mori et al 2016	2016	Haloarchaeobius	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
