Species	Domain	Min opt	Max opt	Min sup	Max sup	Classif	NaCl?	Unit	Reference	Year	Genus	Family	Order	Class	Phylum	Kingdom
Virgibacillus subterraneus	B	9	9	0	25	Moderate	s	p	Wang et al 2010	2010	Virgibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Salisediminibacterium halotolerans	B	9	9	3	30	No Class	s	p	Jiang et al 2012	2012	Salisediminibacterium	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halomonas lactosivorans	B	4	10	1	12	No Class	s	p	Ming et al 2020	2020	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Salibacterium nitratireducens	B	10	10	0	12	Tolerant	s	p	Singh et al 2018	2018	Salibacterium	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Corynebacterium humireducens	B	10	10	0	13	Tolerant	s	p	Wu et al 2011	2011	Corynebacterium	Corynebacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacillati
Aliidiomarina shirensis	B	1	10	0,5	15	No Class	s	p	Chiu et al 2014	2014	Aliidiomarina	Idiomarinaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Alteromonas hispanica	B	7,5	10	7,5	15	Moderate	s	p	Martínez-Checa et al 2005	2005	Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Georgenia halophila	B	5	10	1	15	No Class	s	p	Tang et al 2010	2010	Georgenia	Bogoriellaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Gracilibacillus salinarum	B	5	10	0	15	Tolerant	s	p	Subramanian et al 2023	2023	Gracilibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halomonas beimenensis	B	5	10	0	15	No Class	s	p	Wang et al 2012	2012	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas desiderata	B	5	10	1	15	Moderate	s	p	Wu et al 2008 / Berendes et al 1997	1997	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas maura	B	7,5	10	1	15	Moderate	Sais marinhos	p	Bouchotroch et al. 2001	2001	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas muralis	B	2,5	10	0	15	No Class	s	p	Heyrman et al 2002	2002	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas stenophila	B	5	10	3	15	Moderate	s	p	Llamas et al 2011	2011	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Kangiella spongicola	B	2	10	0	15	No Class	s	p	Ahn et al 2011	2011	Kangiella	Kangiellaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Lentibacillus salis	B	10	10	5	15	Moderate	s	p	Lee et al 2008	2008	Lentibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Marinobacter bohaiensis	B	6	10	1	15	Moderate	s	p	Xu et al 2018	2018	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Marinobacter daqiaonensis	B	5	10	1	15	Moderate	s	p	Qu et al 2011	2011	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Nesterenkonia populi	B	5	10	3	15	Moderate	s	p	Liu et al 2015	2015	Nesterenkonia	Micrococcaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
